DATE,all_Const_Emp,emratio,GDP,RHORUSQ156N,house_st,income,IPI_Cement,labor_percent,monthly_supply,mortgage_rate,MSPUS,new_private_house,new_private_hw_under,permit,POP,PPI_Cement,PPI_Concrete,p_saving_rate,target,total_emp_cons,unemployed_rate
1990-01-01,710.3,63.2,5872.701,64.0,1551.0,4783.8,138.1363,66.8,7.0,9.895,123900.0,2119.0265659925417,891.0,1748.0,248659.0,101.7,4.81380905109942,7.9,76.527,5422.0,5.4
1990-02-01,707.3,63.2,5872.701,64.0,1437.0,4819.8,134.7538,66.7,7.6,10.1975,123900.0,1888.7831894393653,898.0,1329.0,248827.0,101.7,4.81380905109942,8.5,76.587,5416.0,5.3
1990-03-01,703.0,63.2,5872.701,64.0,1289.0,4842.7,132.5115,66.7,7.8,10.268,123900.0,1878.4839058941614,885.0,1246.0,249012.0,102.0,4.81380905109942,8.3,76.79,5392.0,5.2
1990-04-01,692.5,63.0,5960.028,63.7,1248.0,4883.8,127.1853,66.6,8.3,10.37,126800.0,1859.364288445469,872.0,1136.0,249306.0,102.5,4.81380905109942,8.7,77.038,5355.0,5.4
1990-05-01,688.6,63.1,5960.028,63.7,1212.0,4889.5,123.8842,66.6,8.2,10.4775,126800.0,1887.3116880758591,858.0,1067.0,249565.0,102.5,4.81380905109942,8.7,77.297,5321.0,5.4
1990-06-01,681.4,62.9,5960.028,63.7,1177.0,4919.3,123.1067,66.4,7.9,10.164,126800.0,1758.0527091537579,846.0,1108.0,249849.0,102.4,4.81380905109942,8.6,77.505,5303.0,5.2
1990-07-01,673.9,62.8,6015.116,64.0,1171.0,4948.2,122.3559,66.5,7.8,10.035,117000.0,1805.0018979198853,831.0,1078.0,250132.0,102.7,4.81380905109942,8.7,77.561,5274.0,5.5
1990-08-01,663.3,62.7,6015.116,64.0,1115.0,4949.9,119.6385,66.5,8.2,10.1,117000.0,1822.6239462812466,813.0,1069.0,250439.0,102.8,4.81380905109942,8.1,77.479,5234.0,5.7
1990-09-01,656.8,62.5,6015.116,64.0,1110.0,4978.6,118.6876,66.4,8.4,10.175,117000.0,1829.9690278960763,793.0,976.0,250751.0,103.5,4.837867950107113,8.1,77.229,5197.0,5.9
1990-10-01,646.3,62.5,6004.733,64.1,1014.0,4966.5,113.6963,66.4,8.7,10.1775,121500.0,1785.921210960001,766.0,925.0,251057.0,103.6,4.837867950107113,7.9,76.91199999999999,5134.0,5.9
1990-11-01,633.8,62.3,6004.733,64.1,1145.0,4973.5,116.5566,66.4,8.2,10.014,121500.0,1736.0670927276556,758.0,941.0,251346.0,103.7,4.864452783918174,8.0,76.381,5095.0,6.2
1990-12-01,624.3,62.2,6004.733,64.1,969.0,5004.1,108.5216,66.4,8.5,9.6725,121500.0,1626.3544603615444,745.0,861.0,251626.0,103.8,4.864452783918174,8.8,75.972,5047.0,6.3
1991-01-01,610.0,62.0,6035.178,63.9,798.0,4990.4,101.5934,66.2,9.4,9.6375,120000.0,1591.324548214,716.0,786.0,251889.0,105.0,4.864452783918174,9.4,75.533,4972.0,6.4
1991-02-01,600.3,61.9,6035.178,63.9,965.0,4997.1,108.6813,66.2,7.9,9.365,120000.0,1505.377406803333,710.0,853.0,252135.0,105.3,4.867534450455582,9.0,75.249,4929.0,6.6
1991-03-01,598.0,61.8,6035.178,63.9,921.0,5005.8,105.2613,66.3,7.3,9.5,120000.0,1630.7359140126275,678.0,911.0,252372.0,105.8,4.876722876509988,8.1,75.137,4881.0,6.8
